Indicator,Country,Date,value
Cumulative number of probable Ebola deaths,Sierra Leone,10/22/14,164
Cumulative number of suspected Ebola deaths,Sierra Leone,10/22/14,109
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/22/14,1259
Cumulative number of confirmed Ebola deaths,Spain,10/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/22/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/22/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/22/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,10/22/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/22/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/22/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/22/14,0
Cumulative number of probable Ebola deaths,Senegal,10/22/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/22/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/25/14,1312
Cumulative number of probable Ebola cases,Guinea,10/25/14,194
Cumulative number of suspected Ebola cases,Guinea,10/25/14,47
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/25/14,1553
Cumulative number of confirmed Ebola cases,Liberia,10/25/14,965
Cumulative number of probable Ebola cases,Liberia,10/25/14,2106
Cumulative number of suspected Ebola cases,Liberia,10/25/14,1594
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/25/14,4665
Cumulative number of confirmed Ebola cases,Sierra Leone,10/25/14,3389
Cumulative number of probable Ebola cases,Sierra Leone,10/25/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/25/14,470
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/25/14,3896
Cumulative number of confirmed Ebola cases,Mali,10/25/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,10/25/14,1
Cumulative number of confirmed Ebola cases,Spain,10/25/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/25/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/25/14,4
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/25/14,4
Cumulative number of confirmed Ebola cases,Nigeria,10/25/14,19
Cumulative number of probable Ebola cases,Nigeria,10/25/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/25/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/25/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/25/14,1
Cumulative number of probable Ebola cases,Senegal,10/25/14,0
Cumulative number of suspected Ebola cases,Senegal,10/25/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/25/14,1
Cumulative number of confirmed Ebola deaths,Guinea,10/25/14,732
Cumulative number of probable Ebola deaths,Guinea,10/25/14,194
Cumulative number of suspected Ebola deaths,Guinea,10/25/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/25/14,926
Cumulative number of confirmed Ebola deaths,Liberia,10/25/14,1241
Cumulative number of probable Ebola deaths,Liberia,10/25/14,803
Cumulative number of suspected Ebola deaths,Liberia,10/25/14,661
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/25/14,2705
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/25/14,1008
Cumulative number of probable Ebola deaths,Sierra Leone,10/25/14,164
Cumulative number of suspected Ebola deaths,Sierra Leone,10/25/14,109
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/25/14,1281
Cumulative number of confirmed Ebola deaths,Mali,10/25/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,10/25/14,1
Cumulative number of confirmed Ebola deaths,Spain,10/25/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/25/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/25/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/25/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,10/25/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/25/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/25/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/25/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/25/14,0
Cumulative number of probable Ebola deaths,Senegal,10/25/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/25/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/25/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/29/14,1391
Cumulative number of probable Ebola cases,Guinea,10/29/14,199
Cumulative number of suspected Ebola cases,Guinea,10/29/14,316
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/29/14,1906
Cumulative number of confirmed Ebola cases,Liberia,10/29/14,2515
Cumulative number of probable Ebola cases,Liberia,10/29/14,1540
Cumulative number of suspected Ebola cases,Liberia,10/29/14,2480
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/29/14,6535
Cumulative number of confirmed Ebola cases,Sierra Leone,10/29/14,3700
Cumulative number of probable Ebola cases,Sierra Leone,10/29/14,322
Cumulative number of suspected Ebola cases,Sierra Leone,10/29/14,1213
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/29/14,5235
Cumulative number of confirmed Ebola cases,Mali,10/29/14,1
Cumulative number of probable Ebola cases,Mali,10/29/14,0
Cumulative number of suspected Ebola cases,Mali,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,10/29/14,1
Cumulative number of confirmed Ebola cases,Spain,10/29/14,1
Cumulative number of probable Ebola cases,Spain,10/29/14,0
Cumulative number of suspected Ebola cases,Spain,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/29/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/29/14,4
Cumulative number of probable Ebola cases,United States of America,10/29/14,0
Cumulative number of suspected Ebola cases,United States of America,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/29/14,4
Cumulative number of confirmed Ebola cases,Nigeria,10/29/14,19
Cumulative number of probable Ebola cases,Nigeria,10/29/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/29/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/29/14,1
Cumulative number of probable Ebola cases,Senegal,10/29/14,0
Cumulative number of suspected Ebola cases,Senegal,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/29/14,1
Number of confirmed Ebola cases in the last 7 days,Guinea,10/29/14,332
Number of probable Ebola cases in the last 7 days,Guinea,10/29/14,19
Number of suspected Ebola cases in the last 7 days,Guinea,10/29/14,315
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Guinea,10/29/14,666
Number of confirmed Ebola cases in the last 7 days,Liberia,10/29/14,35
Number of probable Ebola cases in the last 7 days,Liberia,10/29/14,363
Number of suspected Ebola cases in the last 7 days,Liberia,10/29/14,469
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Liberia,10/29/14,867
Number of confirmed Ebola cases in the last 7 days,Sierra Leone,10/29/14,1187
Number of probable Ebola cases in the last 7 days,Sierra Leone,10/29/14,14
Number of suspected Ebola cases in the last 7 days,Sierra Leone,10/29/14,232
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Sierra Leone,10/29/14,1433
Proportion of confirmed Ebola cases that are from the last 7 days,Guinea,10/29/14,24
Proportion of probable Ebola cases that are from the last 7 days,Guinea,10/29/14,10
Proportion of suspected Ebola cases that are from the last 7 days,Guinea,10/29/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Guinea,10/29/14,35
Proportion of confirmed Ebola cases that are from the last 7 days,Liberia,10/29/14,1
Proportion of probable Ebola cases that are from the last 7 days,Liberia,10/29/14,24
Proportion of suspected Ebola cases that are from the last 7 days,Liberia,10/29/14,19
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Liberia,10/29/14,13
Proportion of confirmed Ebola cases that are from the last 7 days,Sierra Leone,10/29/14,32
Proportion of probable Ebola cases that are from the last 7 days,Sierra Leone,10/29/14,4
Proportion of suspected Ebola cases that are from the last 7 days,Sierra Leone,10/29/14,19
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Sierra Leone,10/29/14,27
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/29/14,997
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/29/14,2413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/29/14,1500
Cumulative number of confirmed Ebola deaths,Mali,10/29/14,1
Cumulative number of probable Ebola deaths,Mali,10/29/14,0
Cumulative number of suspected Ebola deaths,Mali,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,10/29/14,1
Cumulative number of confirmed Ebola deaths,Spain,10/29/14,0
Cumulative number of probable Ebola deaths,Spain,10/29/14,0
Cumulative number of suspected Ebola deaths,Spain,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/29/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/29/14,1
Cumulative number of probable Ebola deaths,United States of America,10/29/14,0
Cumulative number of suspected Ebola deaths,United States of America,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/29/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,10/29/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/29/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/29/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/29/14,0
Cumulative number of probable Ebola deaths,Senegal,10/29/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/29/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/31/14,1409
Cumulative number of probable Ebola cases,Guinea,10/31/14,204
Cumulative number of suspected Ebola cases,Guinea,10/31/14,54
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/31/14,1667
Cumulative number of confirmed Ebola cases,Liberia,10/31/14,2515
Cumulative number of probable Ebola cases,Liberia,10/31/14,1540
Cumulative number of suspected Ebola cases,Liberia,10/31/14,2480
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/31/14,6535
Cumulative number of confirmed Ebola cases,Sierra Leone,10/31/14,3778
Cumulative number of probable Ebola cases,Sierra Leone,10/31/14,322
Cumulative number of suspected Ebola cases,Sierra Leone,10/31/14,1238
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/31/14,5338
Cumulative number of confirmed Ebola cases,Mali,10/31/14,1
Cumulative number of probable Ebola cases,Mali,10/31/14,0
Cumulative number of suspected Ebola cases,Mali,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,10/31/14,1
Cumulative number of confirmed Ebola cases,Spain,10/31/14,1
Cumulative number of probable Ebola cases,Spain,10/31/14,0
Cumulative number of suspected Ebola cases,Spain,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/31/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/31/14,4
Cumulative number of probable Ebola cases,United States of America,10/31/14,0
Cumulative number of suspected Ebola cases,United States of America,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/31/14,4
Cumulative number of confirmed Ebola cases,Nigeria,10/31/14,19
Cumulative number of probable Ebola cases,Nigeria,10/31/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/31/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/31/14,1
Cumulative number of probable Ebola cases,Senegal,10/31/14,0
Cumulative number of suspected Ebola cases,Senegal,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/31/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/31/14,1018
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/31/14,2413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/31/14,1510
Cumulative number of confirmed Ebola deaths,Mali,10/31/14,1
Cumulative number of probable Ebola deaths,Mali,10/31/14,0
Cumulative number of suspected Ebola deaths,Mali,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,10/31/14,1
Cumulative number of confirmed Ebola deaths,Spain,10/31/14,0
Cumulative number of probable Ebola deaths,Spain,10/31/14,0
Cumulative number of suspected Ebola deaths,Spain,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/31/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/31/14,1
Cumulative number of probable Ebola deaths,United States of America,10/31/14,0
Cumulative number of suspected Ebola deaths,United States of America,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/31/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,10/31/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/31/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/31/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/31/14,0
Cumulative number of probable Ebola deaths,Senegal,10/31/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/31/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/31/14,0
Cumulative number of confirmed Ebola cases,Guinea,11/5/14,1457
Cumulative number of probable Ebola cases,Guinea,11/5/14,204
Cumulative number of suspected Ebola cases,Guinea,11/5/14,70
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,11/5/14,1731
Cumulative number of confirmed Ebola cases,Liberia,11/5/14,2451
Cumulative number of probable Ebola cases,Liberia,11/5/14,1627
Cumulative number of suspected Ebola cases,Liberia,11/5/14,2447
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,11/5/14,6525
Cumulative number of confirmed Ebola cases,Sierra Leone,11/5/14,4057
Cumulative number of probable Ebola cases,Sierra Leone,11/5/14,79
Cumulative number of suspected Ebola cases,Sierra Leone,11/5/14,623
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,11/5/14,4759
Cumulative number of confirmed Ebola cases,Mali,11/5/14,1
Cumulative number of probable Ebola cases,Mali,11/5/14,0
Cumulative number of suspected Ebola cases,Mali,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,11/5/14,1
Cumulative number of confirmed Ebola cases,Spain,11/5/14,1
Cumulative number of probable Ebola cases,Spain,11/5/14,0
Cumulative number of suspected Ebola cases,Spain,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,11/5/14,1
Cumulative number of confirmed Ebola cases,United States of America,11/5/14,4
Cumulative number of probable Ebola cases,United States of America,11/5/14,0
Cumulative number of suspected Ebola cases,United States of America,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,11/5/14,4
Cumulative number of confirmed Ebola cases,Nigeria,11/5/14,19
Cumulative number of probable Ebola cases,Nigeria,11/5/14,1
Cumulative number of suspected Ebola cases,Nigeria,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,11/5/14,20
Cumulative number of confirmed Ebola cases,Senegal,11/5/14,1
Cumulative number of probable Ebola cases,Senegal,11/5/14,0
Cumulative number of suspected Ebola cases,Senegal,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,11/5/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,11/5/14,247
Number of probable Ebola cases in the last 21 days,Guinea,11/5/14,9
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,11/5/14,256
Number of confirmed Ebola cases in the last 21 days,Liberia,11/5/14,19
Number of probable Ebola cases in the last 21 days,Liberia,11/5/14,379
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,11/5/14,398
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,11/5/14,1160
Number of probable Ebola cases in the last 21 days,Sierra Leone,11/5/14,14
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,11/5/14,1174
Cumulative number of confirmed Ebola deaths,Guinea,11/5/14,837
Cumulative number of probable Ebola deaths,Guinea,11/5/14,204
Cumulative number of suspected Ebola deaths,Guinea,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,11/5/14,1041
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,11/5/14,2697
Cumulative number of confirmed Ebola deaths,Sierra Leone,11/5/14,893
Cumulative number of probable Ebola deaths,Sierra Leone,11/5/14,142
Cumulative number of suspected Ebola deaths,Sierra Leone,11/5/14,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,11/5/14,1070
Cumulative number of confirmed Ebola deaths,Mali,11/5/14,1
Cumulative number of probable Ebola deaths,Mali,11/5/14,0
Cumulative number of suspected Ebola deaths,Mali,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,11/5/14,1
Cumulative number of confirmed Ebola deaths,Spain,11/5/14,0
Cumulative number of probable Ebola deaths,Spain,11/5/14,0
Cumulative number of suspected Ebola deaths,Spain,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,11/5/14,0
Cumulative number of confirmed Ebola deaths,United States of America,11/5/14,1
Cumulative number of probable Ebola deaths,United States of America,11/5/14,0
Cumulative number of suspected Ebola deaths,United States of America,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,11/5/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,11/5/14,7
Cumulative number of probable Ebola deaths,Nigeria,11/5/14,1
Cumulative number of suspected Ebola deaths,Nigeria,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,11/5/14,8
Cumulative number of confirmed Ebola deaths,Senegal,11/5/14,0
Cumulative number of probable Ebola deaths,Senegal,11/5/14,0
Cumulative number of suspected Ebola deaths,Senegal,11/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,11/5/14,0
Cumulative number of confirmed Ebola cases,Guinea,11/7/14,1479
Cumulative number of probable Ebola cases,Guinea,11/7/14,204
Cumulative number of suspected Ebola cases,Guinea,11/7/14,77
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,11/7/14,1760
Cumulative number of confirmed Ebola cases,Liberia,11/7/14,2514
Cumulative number of probable Ebola cases,Liberia,11/7/14,1629
Cumulative number of suspected Ebola cases,Liberia,11/7/14,2476
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,11/7/14,6619
Cumulative number of confirmed Ebola cases,Sierra Leone,11/7/14,4149
Cumulative number of probable Ebola cases,Sierra Leone,11/7/14,79
Cumulative number of suspected Ebola cases,Sierra Leone,11/7/14,634
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,11/7/14,4862
Cumulative number of confirmed Ebola cases,Mali,11/7/14,1
Cumulative number of probable Ebola cases,Mali,11/7/14,0
Cumulative number of suspected Ebola cases,Mali,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,11/7/14,1
Cumulative number of confirmed Ebola cases,Spain,11/7/14,1
Cumulative number of probable Ebola cases,Spain,11/7/14,0
Cumulative number of suspected Ebola cases,Spain,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,11/7/14,1
Cumulative number of confirmed Ebola cases,United States of America,11/7/14,4
Cumulative number of probable Ebola cases,United States of America,11/7/14,0
Cumulative number of suspected Ebola cases,United States of America,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,11/7/14,4
Cumulative number of confirmed Ebola cases,Nigeria,11/7/14,19
Cumulative number of probable Ebola cases,Nigeria,11/7/14,1
Cumulative number of suspected Ebola cases,Nigeria,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,11/7/14,20
Cumulative number of confirmed Ebola cases,Senegal,11/7/14,1
Cumulative number of probable Ebola cases,Senegal,11/7/14,0
Cumulative number of suspected Ebola cases,Senegal,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,11/7/14,1
Cumulative number of confirmed Ebola deaths,Guinea,11/7/14,850
Cumulative number of probable Ebola deaths,Guinea,11/7/14,204
Cumulative number of suspected Ebola deaths,Guinea,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,11/7/14,1054
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,11/7/14,2766
Cumulative number of confirmed Ebola deaths,Sierra Leone,11/7/14,921
Cumulative number of probable Ebola deaths,Sierra Leone,11/7/14,174
Cumulative number of suspected Ebola deaths,Sierra Leone,11/7/14,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,11/7/14,1130
Cumulative number of confirmed Ebola deaths,Mali,11/7/14,1
Cumulative number of probable Ebola deaths,Mali,11/7/14,0
Cumulative number of suspected Ebola deaths,Mali,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,11/7/14,1
Cumulative number of confirmed Ebola deaths,Spain,11/7/14,0
Cumulative number of probable Ebola deaths,Spain,11/7/14,0
Cumulative number of suspected Ebola deaths,Spain,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,11/7/14,0
Cumulative number of confirmed Ebola deaths,United States of America,11/7/14,1
Cumulative number of probable Ebola deaths,United States of America,11/7/14,0
Cumulative number of suspected Ebola deaths,United States of America,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,11/7/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,11/7/14,7
Cumulative number of probable Ebola deaths,Nigeria,11/7/14,1
Cumulative number of suspected Ebola deaths,Nigeria,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,11/7/14,8
Cumulative number of confirmed Ebola deaths,Senegal,11/7/14,0
Cumulative number of probable Ebola deaths,Senegal,11/7/14,0
Cumulative number of suspected Ebola deaths,Senegal,11/7/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,11/7/14,0
Cumulative number of confirmed Ebola cases,Guinea,11/12/14,1612
Cumulative number of probable Ebola cases,Guinea,11/12/14,208
Cumulative number of suspected Ebola cases,Guinea,11/12/14,58
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,11/12/14,1878
Cumulative number of confirmed Ebola cases,Liberia,11/12/14,2553
Cumulative number of probable Ebola cases,Liberia,11/12/14,1687
Cumulative number of suspected Ebola cases,Liberia,11/12/14,2582
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,11/12/14,6822
Cumulative number of confirmed Ebola cases,Sierra Leone,11/12/14,4523
Cumulative number of probable Ebola cases,Sierra Leone,11/12/14,79
Cumulative number of suspected Ebola cases,Sierra Leone,11/12/14,766
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,11/12/14,5368
Cumulative number of confirmed Ebola cases,Mali,11/12/14,2
Cumulative number of probable Ebola cases,Mali,11/12/14,2
Cumulative number of suspected Ebola cases,Mali,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,11/12/14,4
Cumulative number of confirmed Ebola cases,Spain,11/12/14,1
Cumulative number of probable Ebola cases,Spain,11/12/14,0
Cumulative number of suspected Ebola cases,Spain,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,11/12/14,1
Cumulative number of confirmed Ebola cases,United States of America,11/12/14,4
Cumulative number of probable Ebola cases,United States of America,11/12/14,0
Cumulative number of suspected Ebola cases,United States of America,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,11/12/14,4
Cumulative number of confirmed Ebola cases,Nigeria,11/12/14,19
Cumulative number of probable Ebola cases,Nigeria,11/12/14,1
Cumulative number of suspected Ebola cases,Nigeria,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,11/12/14,20
Cumulative number of confirmed Ebola cases,Senegal,11/12/14,1
Cumulative number of probable Ebola cases,Senegal,11/12/14,0
Cumulative number of suspected Ebola cases,Senegal,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,11/12/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,11/12/14,313
Number of probable Ebola cases in the last 21 days,Guinea,11/12/14,12
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,11/12/14,325
Number of confirmed Ebola cases in the last 21 days,Liberia,11/12/14,335
Number of probable Ebola cases in the last 21 days,Liberia,11/12/14,131
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,11/12/14,466
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,11/12/14,1197
Number of probable Ebola cases in the last 21 days,Sierra Leone,11/12/14,14
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,11/12/14,1211
Cumulative number of confirmed Ebola deaths,Guinea,11/12/14,934
Cumulative number of probable Ebola deaths,Guinea,11/12/14,208
Cumulative number of suspected Ebola deaths,Guinea,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,11/12/14,1142
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,11/12/14,2836
Cumulative number of confirmed Ebola deaths,Sierra Leone,11/12/14,960
Cumulative number of probable Ebola deaths,Sierra Leone,11/12/14,174
Cumulative number of suspected Ebola deaths,Sierra Leone,11/12/14,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,11/12/14,1169
Cumulative number of confirmed Ebola deaths,Mali,11/12/14,2
Cumulative number of probable Ebola deaths,Mali,11/12/14,2
Cumulative number of suspected Ebola deaths,Mali,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,11/12/14,4
Cumulative number of confirmed Ebola deaths,Spain,11/12/14,0
Cumulative number of probable Ebola deaths,Spain,11/12/14,0
Cumulative number of suspected Ebola deaths,Spain,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,11/12/14,0
Cumulative number of confirmed Ebola deaths,United States of America,11/12/14,1
Cumulative number of probable Ebola deaths,United States of America,11/12/14,0
Cumulative number of suspected Ebola deaths,United States of America,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,11/12/14,1
Cumulative number of confirmed Ebola deaths,Nigeria,11/12/14,7
Cumulative number of probable Ebola deaths,Nigeria,11/12/14,1
Cumulative number of suspected Ebola deaths,Nigeria,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,11/12/14,8
Cumulative number of confirmed Ebola deaths,Senegal,11/12/14,0
Cumulative number of probable Ebola deaths,Senegal,11/12/14,0
Cumulative number of suspected Ebola deaths,Senegal,11/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,11/12/14,0
Cumulative number of confirmed Ebola cases,Guinea,11/14/14,1647
Cumulative number of probable Ebola cases,Guinea,11/14/14,208
Cumulative number of suspected Ebola cases,Guinea,11/14/14,64
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,11/14/14,1919
Cumulative number of confirmed Ebola cases,Liberia,11/14/14,2562
Cumulative number of probable Ebola cases,Liberia,11/14/14,1716
Cumulative number of suspected Ebola cases,Liberia,11/14/14,2600
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,11/14/14,6878
Cumulative number of confirmed Ebola cases,Sierra Leone,11/14/14,4683
Cumulative number of probable Ebola cases,Sierra Leone,11/14/14,79
